:structural:
# Source	Relation	Target
Action	inherits_from	ABC
InstantAction	inherits_from	Action
IntervalAction	inherits_from	Action
GroupAction	inherits_from	Action
_Move	inherits_from	Action
MoveTo	inherits_from	IntervalAction
MoveBy	inherits_from	MoveTo
RotateTo	inherits_from	IntervalAction
RotateBy	inherits_from	RotateTo
ScaleTo	inherits_from	IntervalAction
ScaleBy	inherits_from	ScaleTo
FadeTo	inherits_from	IntervalAction
FadeIn	inherits_from	FadeTo
FadeOut	inherits_from	FadeTo
Blink	inherits_from	IntervalAction
Place	inherits_from	InstantAction
Hide	inherits_from	InstantAction
Show	inherits_from	InstantAction
ToggleVisibility	inherits_from	InstantAction
CallFunc	inherits_from	InstantAction
CallFuncS	inherits_from	CallFunc
Sequence	inherits_from	IntervalAction
Spawn	inherits_from	IntervalAction
Repeat	inherits_from	IntervalAction
WrappedMove	inherits_from	_Move
BoundedMove	inherits_from	_Move
Driver	inherits_from	Action
Action	contains	__init__
Action	contains	clone
Action	contains	is_done
Action	contains	start
Action	contains	update
Action	contains	stop
Action	contains	reset
Action	contains	pause
Action	contains	resume
Action	contains	on_complete
Action	contains	when_done
InstantAction	contains	update
IntervalAction	contains	__init__
IntervalAction	contains	done
MoveTo	contains	__init__
MoveTo	contains	start
MoveTo	contains	update
MoveTo	contains	stop
MoveBy	contains	__init__
MoveBy	contains	start
MoveBy	contains	update
RotateTo	contains	__init__
RotateTo	contains	start
RotateTo	contains	update
RotateTo	contains	stop
RotateBy	contains	__init__
RotateBy	contains	start
RotateBy	contains	update
ScaleTo	contains	__init__
ScaleTo	contains	start
ScaleTo	contains	update
ScaleTo	contains	stop
ScaleBy	contains	__init__
ScaleBy	contains	start
FadeTo	contains	__init__
FadeTo	contains	start
FadeTo	contains	update
FadeTo	contains	stop
FadeIn	contains	start
FadeIn	contains	update
FadeIn	contains	stop
FadeOut	contains	start
FadeOut	contains	update
FadeOut	contains	stop
Blink	contains	__init__
Blink	contains	start
Blink	contains	update
Blink	contains	stop
Place	contains	__init__
Place	contains	start
Place	contains	stop
Hide	contains	start
Hide	contains	stop
Show	contains	start
Show	contains	stop
ToggleVisibility	contains	start
ToggleVisibility	contains	stop
CallFunc	contains	__init__
CallFunc	contains	start
CallFunc	contains	stop
CallFuncS	contains	start
CallFuncS	contains	stop
Sequence	contains	__init__
Sequence	contains	start
Sequence	contains	update
Sequence	contains	stop
Sequence	contains	reset
Spawn	contains	__init__
Spawn	contains	start
Spawn	contains	update
Spawn	contains	stop
Spawn	contains	reset
Repeat	contains	__init__
Repeat	contains	start
Repeat	contains	update
Repeat	contains	stop
Repeat	contains	reset
WrappedMove	contains	__init__
WrappedMove	contains	update
BoundedMove	contains	__init__
BoundedMove	contains	update
Driver	contains	__init__
Driver	contains	update
Action.start	has_param	target
Action.update	has_param	dt
InstantAction.update	has_param	dt
IntervalAction.__init__	has_param	duration
MoveTo.__init__	has_param	position
MoveTo.__init__	has_param	duration
MoveTo.__init__	has_param	use_physics
MoveBy.__init__	has_param	delta
MoveBy.__init__	has_param	duration
